strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s
instant,1,3600,0.30298894905229035,188.52896793768332,0.6985344207806166,-0.001465579219383395,16.00624697113384,97,506.9077836280582,0.8303886000066996
constant,3,3600,0.3051910843129717,210.6535462595013,0.6982073254435098,-0.0017926745564901259,16.16381232568325,99,581.901218098453,2.973667399957776
perfect,3,3600,0.30213650959654276,185.85410003544638,0.6982111964062803,-0.00178880359371969,15.98397852865107,96,509.1070016978339,2.6799056999734603
predicted,3,3600,0.30392130470701434,198.0943160255658,0.6982173849682225,-0.001782615031777457,16.133554863595528,96,531.1422281483343,2.821652000013273
constant,5,3600,0.30505789064801114,210.6197997930339,0.6981328385727108,-0.0018671614272891546,16.160911258083715,99,581.901218098453,5.039693999977317
perfect,5,3600,0.30426760823591176,204.46555749406264,0.6981289595649539,-0.0018710404350460452,15.933231362698123,82,420.9170767041107,5.558622899989132
predicted,5,3600,0.30395682301767046,199.01725683524455,0.6981406341009104,-0.0018593658990895268,16.141877471500944,94,514.4929258989586,6.198986999981571
constant,10,3600,0.3174892993776638,229.09960316821588,0.7040637956285514,0.004063795628551414,15.973294175112999,97,540.0588344337256,17.799153800006025
perfect,10,3600,0.30171028986866893,180.00010365320628,0.6981864647859892,-0.0018135352140107308,16.074248185375517,70,352.947779252761,18.305481599993072
predicted,10,3600,0.30373483357606956,197.42540932903168,0.6981904976991117,-0.0018095023008882771,16.06453465198906,90,501.53163838901224,16.34685480000917
